id,judul,judul_asli,sinopsis,tagline,genre,genre_ids,sutradara,pemain,produksi,negara,rating,jumlah_vote,popularitas,tanggal_rilis,tahun,bahasa_asli,teks_dokumen,jumlah_kata_dokumen,jumlah_kata_sinopsis
1380291,Tom Clancy's Jack Ryan: Ghost War,Tom Clancy's Jack Ryan: Ghost War,"Dalam film baru ini, Jack Ryan terpaksa terjun kembali ke dunia spionase ketika misi rahasia internasional mengungkap konspirasi berbahaya. Sambil berlomba melawan waktu, dia bergabung dengan sekutu CIA Mike November dan James Greer, serta petugas MI6 yang jeli, Emma Marlowe, untuk melawan unit operasi rahasia yang nakal dalam pertarungan yang penuh risiko dan sangat pribadi.",,"Aksi, Cerita Seru, Drama","[28, 53, 18]",Andrew Bernstein,"John Krasinski, Sienna Miller, Wendell Pierce, Michael Kelly, Max Beesley","Sunday Night Productions, Paramount Pictures, Skydance Media",United States of America,7.025,20,124.6376,2026-05-20,2026,en,"Judul film Tom Clancy's Jack Ryan: Ghost War. Genre film ini adalah Aksi, Cerita Seru, Drama. Dalam film baru ini, Jack Ryan terpaksa terjun kembali ke dunia spionase ketika misi rahasia internasional mengungkap konspirasi berbahaya. Sambil berlomba melawan waktu, dia bergabung dengan sekutu CIA Mike November dan James Greer, serta petugas MI6 yang jeli, Emma Marlowe, untuk melawan unit operasi rahasia yang nakal dalam pertarungan yang penuh risiko dan sangat pribadi. Disutradarai oleh Andrew Bernstein. Dibintangi oleh John Krasinski, Sienna Miller, Wendell Pierce, Michael Kelly, Max Beesley. Diproduksi oleh Sunday Night Productions, Paramount Pictures, Skydance Media. Negara produksi: United States of America.",102,55
1084242,Zootopia 2,Zootopia 2,"Setelah berhasil menyelesaikan kasus terbesar dalam sejarah Zootopia, dua polisi pemula Judy Hopps dan Nick Wilde menyadari bahwa kemitraan mereka tidak sekuat yang mereka kira ketika Kepala Bogo memerintahkan mereka untuk mengikuti program konseling “Partners in Crisis”. Namun, tidak lama kemudian, kemitraan mereka diuji hingga batasnya ketika mereka terjebak dalam jejak misterius yang terkait dengan kedatangan ular berbisa di kota metropolis hewan tersebut.",,"Petualangan, Animasi, Komedi, Keluarga, Misteri","[12, 16, 35, 10751, 9648]","Jared Bush, Byron Howard","Ginnifer Goodwin, Jason Bateman, Ke Huy Quan, Fortune Feimster, Andy Samberg","Walt Disney Animation Studios, Walt Disney Animation Studios","United States of America, Canada",7.637,2778,85.1868,2025-11-26,2025,en,"Judul film Zootopia 2. Genre film ini adalah Petualangan, Animasi, Komedi, Keluarga, Misteri. Setelah berhasil menyelesaikan kasus terbesar dalam sejarah Zootopia, dua polisi pemula Judy Hopps dan Nick Wilde menyadari bahwa kemitraan mereka tidak sekuat yang mereka kira ketika Kepala Bogo memerintahkan mereka untuk mengikuti program konseling “Partners in Crisis”. Namun, tidak lama kemudian, kemitraan mereka diuji hingga batasnya ketika mereka terjebak dalam jejak misterius yang terkait dengan kedatangan ular berbisa di kota metropolis hewan tersebut. Disutradarai oleh Jared Bush, Byron Howard. Dibintangi oleh Ginnifer Goodwin, Jason Bateman, Ke Huy Quan, Fortune Feimster, Andy Samberg. Diproduksi oleh Walt Disney Animation Studios, Walt Disney Animation Studios. Negara produksi: United States of America, Canada.",112,63
1579,Apocalypto,Apocalypto,"Berlatar belakang peradaban Maya, saat kehidupan seorang pria yang indah diganggu secara brutal oleh kekuatan penyerang yang kejam, ia dibawa dalam perjalanan berbahaya ke dunia yang dikuasai oleh rasa takut dan penindasan, di mana akhir yang mengerikan menantinya. Melalui likuan takdir dan didorong oleh kekuatan cintanya kepada wanita dan keluarganya, ia akan melakukan perjalanan yang putus asa untuk kembali ke rumah dan pada akhirnya menyelamatkan jalan hidupnya.",,"Aksi, Drama, Sejarah","[28, 18, 36]",Mel Gibson,"Rudy Youngblood, Raoul Max Trujillo, Gerardo Taracena, Iazua Larios, Antonio Monroy","Icon Entertainment International, Icon Productions, Touchstone Pictures","United Kingdom, United States of America",7.617,6301,58.632,2006-12-07,2006,en,"Judul film Apocalypto. Genre film ini adalah Aksi, Drama, Sejarah. Berlatar belakang peradaban Maya, saat kehidupan seorang pria yang indah diganggu secara brutal oleh kekuatan penyerang yang kejam, ia dibawa dalam perjalanan berbahaya ke dunia yang dikuasai oleh rasa takut dan penindasan, di mana akhir yang mengerikan menantinya. Melalui likuan takdir dan didorong oleh kekuatan cintanya kepada wanita dan keluarganya, ia akan melakukan perjalanan yang putus asa untuk kembali ke rumah dan pada akhirnya menyelamatkan jalan hidupnya. Disutradarai oleh Mel Gibson. Dibintangi oleh Rudy Youngblood, Raoul Max Trujillo, Gerardo Taracena, Iazua Larios, Antonio Monroy. Diproduksi oleh Icon Entertainment International, Icon Productions, Touchstone Pictures. Negara produksi: United Kingdom, United States of America.",111,67
24428,The Avengers,The Avengers,"Ketika musuh yang tak terduga muncul, mengancam keselamatan dan keamanan dunia, Nick Fury, direktur Badan Perdamaian Internasional, dikenal sebagai S.H.I.E.L.D. , membutuhkan tim untuk menyelamatkan dunia dari bencana. Usaha perekrutan pun dimulai  Iron Man, Captain America, Hulk, Thor, Black Widow dan Hawkeye dikumpulkan untuk menaklukkan Dewa Kehancuran, Loki, dalam usahanya menghancurkan bumi. Dengan semua gabungan kekuatan, tugas nampak lebih mudah. Namun kenyatannya tidak demikian!  Para pahlawan super justru saling melawan satu sama lain  Hulk melawan Captain America, siapa yang akan menang? Apakah Iron Man dapat mengalahkan kekuatan super milik Thor? Bagaimana para pahlawan super ini secara bersama-sama menghadapi bencana, melindungi masyarakat dan yang terpenting, bertahan hidup?",,"Cerita Fiksi, Aksi, Petualangan","[878, 28, 12]",Joss Whedon,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson",Marvel Studios,United States of America,8.027,37914,53.0364,2012-04-25,2012,en,"Judul film The Avengers. Genre film ini adalah Cerita Fiksi, Aksi, Petualangan. Ketika musuh yang tak terduga muncul, mengancam keselamatan dan keamanan dunia, Nick Fury, direktur Badan Perdamaian Internasional, dikenal sebagai S.H.I.E.L.D. , membutuhkan tim untuk menyelamatkan dunia dari bencana. Usaha perekrutan pun dimulai  Iron Man, Captain America, Hulk, Thor, Black Widow dan Hawkeye dikumpulkan untuk menaklukkan Dewa Kehancuran, Loki, dalam usahanya menghancurkan bumi. Dengan semua gabungan kekuatan, tugas nampak lebih mudah. Namun kenyatannya tidak demikian!  Para pahlawan super justru saling melawan satu sama lain  Hulk melawan Captain America, siapa yang akan menang? Apakah Iron Man dapat mengalahkan kekuatan super milik Thor? Bagaimana para pahlawan super ini secara bersama-sama menghadapi bencana, melindungi masyarakat dan yang terpenting, bertahan hidup? Disutradarai oleh Joss Whedon. Dibintangi oleh Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson. Diproduksi oleh Marvel Studios. Negara produksi: United States of America.",145,106
299536,Avengers: Infinity War,Avengers: Infinity War,"Karena Avengers dan sekutunya terus melindungi dunia dari ancaman yang terlalu besar untuk ditangani oleh seorang pahlawan, bahaya baru telah muncul dari bayangan kosmik: Thanos. Seorang lalim penghujatan intergalaksi, tujuannya adalah untuk mengumpulkan semua enam Batu Infinity, artefak kekuatan yang tak terbayangkan, dan menggunakannya untuk menimbulkan kehendak memutar pada semua realitas. Segala sesuatu yang telah diperjuangkan oleh Avengers telah berkembang hingga saat ini - nasib Bumi dan keberadaannya sendiri tidak pernah lebih pasti.",,"Petualangan, Aksi, Cerita Fiksi","[12, 28, 878]","Anthony Russo, Joe Russo","Robert Downey Jr., Chris Evans, Chris Hemsworth, Josh Brolin, Mark Ruffalo",Marvel Studios,United States of America,8.235,31943,41.4899,2018-04-25,2018,en,"Judul film Avengers: Infinity War. Genre film ini adalah Petualangan, Aksi, Cerita Fiksi. Karena Avengers dan sekutunya terus melindungi dunia dari ancaman yang terlalu besar untuk ditangani oleh seorang pahlawan, bahaya baru telah muncul dari bayangan kosmik: Thanos. Seorang lalim penghujatan intergalaksi, tujuannya adalah untuk mengumpulkan semua enam Batu Infinity, artefak kekuatan yang tak terbayangkan, dan menggunakannya untuk menimbulkan kehendak memutar pada semua realitas. Segala sesuatu yang telah diperjuangkan oleh Avengers telah berkembang hingga saat ini - nasib Bumi dan keberadaannya sendiri tidak pernah lebih pasti. Disutradarai oleh Anthony Russo, Joe Russo. Dibintangi oleh Robert Downey Jr., Chris Evans, Chris Hemsworth, Josh Brolin, Mark Ruffalo. Diproduksi oleh Marvel Studios. Negara produksi: United States of America.",115,73
502356,The Super Mario Bros. Movie,The Super Mario Bros. Movie,"Ketika sedang bekerja di bawah tanah untuk memperbaiki pipa air, Mario dan Luigi, yang merupakan tukang ledeng dari Brooklyn, tiba-tiba terhisap ke dalam pipa misterius dan masuk ke dunia yang sangat berbeda. Mereka berada di tempat yang ajaib dan aneh. Tapi sayangnya, mereka terpisah satu sama lain. Mario memulai petualangan besar untuk mencari dan menemukan Luigi.",,"Keluarga, Komedi, Petualangan, Fantasi, Animasi","[10751, 35, 12, 14, 16]","Michael Jelenic, Aaron Horvath","Chris Pratt, Anya Taylor-Joy, Charlie Day, Jack Black, Keegan-Michael Key","Universal Pictures, Illumination, Nintendo","Japan, United States of America",7.598,10689,40.2503,2023-04-05,2023,en,"Judul film The Super Mario Bros. Movie. Genre film ini adalah Keluarga, Komedi, Petualangan, Fantasi, Animasi. Ketika sedang bekerja di bawah tanah untuk memperbaiki pipa air, Mario dan Luigi, yang merupakan tukang ledeng dari Brooklyn, tiba-tiba terhisap ke dalam pipa misterius dan masuk ke dunia yang sangat berbeda. Mereka berada di tempat yang ajaib dan aneh. Tapi sayangnya, mereka terpisah satu sama lain. Mario memulai petualangan besar untuk mencari dan menemukan Luigi. Disutradarai oleh Michael Jelenic, Aaron Horvath. Dibintangi oleh Chris Pratt, Anya Taylor-Joy, Charlie Day, Jack Black, Keegan-Michael Key. Diproduksi oleh Universal Pictures, Illumination, Nintendo. Negara produksi: Japan, United States of America.",103,56
671,Harry Potter dan Batu Bertuah,Harry Potter and the Philosopher's Stone,"Harry Potter telah tinggal di bawah tangga di rumah bibinya dan rumah pamannya sepanjang hidupnya. Tetapi pada ulang tahunnya yang ke-11, ia mengetahui bahwa ia adalah penyihir yang kuat - dengan tempat yang menunggunya di Sekolah Sihir dan Penyihir Hogwarts. Ketika dia belajar untuk memanfaatkan kekuatan yang baru ditemukannya dengan bantuan kepala sekolah yang ramah, Harry mengungkap kebenaran tentang kematian orangtuanya - dan tentang penjahat yang harus disalahkan.",,"Petualangan, Fantasi","[12, 14]",Chris Columbus,"Daniel Radcliffe, Rupert Grint, Emma Watson, Richard Harris, Tom Felton","Warner Bros. Pictures, Heyday Films, 1492 Pictures","United Kingdom, United States of America",7.898,29525,32.0257,2001-11-16,2001,en,"Judul film Harry Potter dan Batu Bertuah. Genre film ini adalah Petualangan, Fantasi. Harry Potter telah tinggal di bawah tangga di rumah bibinya dan rumah pamannya sepanjang hidupnya. Tetapi pada ulang tahunnya yang ke-11, ia mengetahui bahwa ia adalah penyihir yang kuat - dengan tempat yang menunggunya di Sekolah Sihir dan Penyihir Hogwarts. Ketika dia belajar untuk memanfaatkan kekuatan yang baru ditemukannya dengan bantuan kepala sekolah yang ramah, Harry mengungkap kebenaran tentang kematian orangtuanya - dan tentang penjahat yang harus disalahkan. Disutradarai oleh Chris Columbus. Dibintangi oleh Daniel Radcliffe, Rupert Grint, Emma Watson, Richard Harris, Tom Felton. Diproduksi oleh Warner Bros. Pictures, Heyday Films, 1492 Pictures. Negara produksi: United Kingdom, United States of America.",114,68
120,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,"Hobbit muda Frodo Baggins, setelah mewarisi cincin misterius dari pamannya, Bilbo, harus meninggalkan rumahnya agar tidak jatuh ke tangan penciptanya yang jahat. Sepanjang jalan, persekutuan dibentuk untuk melindungi ringbearer dan memastikan bahwa cincin itu tiba di tujuan akhirnya: Mt. Doom, satu-satunya tempat di mana ia bisa dihancurkan.",,"Petualangan, Fantasi, Aksi","[12, 14, 28]",Peter Jackson,"Elijah Wood, Ian McKellen, Viggo Mortensen, Sean Astin, Ian Holm","New Line Cinema, WingNut Films, The Saul Zaentz Company","New Zealand, United States of America",8.434,27507,31.7209,2001-12-18,2001,en,"Judul film The Lord of the Rings: The Fellowship of the Ring. Genre film ini adalah Petualangan, Fantasi, Aksi. Hobbit muda Frodo Baggins, setelah mewarisi cincin misterius dari pamannya, Bilbo, harus meninggalkan rumahnya agar tidak jatuh ke tangan penciptanya yang jahat. Sepanjang jalan, persekutuan dibentuk untuk melindungi ringbearer dan memastikan bahwa cincin itu tiba di tujuan akhirnya: Mt. Doom, satu-satunya tempat di mana ia bisa dihancurkan. Disutradarai oleh Peter Jackson. Dibintangi oleh Elijah Wood, Ian McKellen, Viggo Mortensen, Sean Astin, Ian Holm. Diproduksi oleh New Line Cinema, WingNut Films, The Saul Zaentz Company. Negara produksi: New Zealand, United States of America.",101,47
969681,Spider-Man: Brand New Day,Spider-Man: Brand New Day,"Empat tahun setelah peristiwa Spider-Man: No Way Home, Peter Parker sudah tidak ada lagi dan Spider-Man kini berada di puncak kemampuannya dalam menjaga Kota New York tetap aman. Semuanya berjalan dengan baik hingga serangkaian kejahatan yang tidak biasa menyeret Spider-Man ke dalam jaring misteri yang lebih besar dari apa pun yang pernah ia hadapi sebelumnya. Untuk menghadapi apa yang akan datang, Spider-Man tidak hanya harus berada dalam kondisi fisik dan mental terbaiknya, tetapi juga harus siap menghadapi konsekuensi dari masa lalunya!",,"Cerita Fiksi, Aksi, Petualangan","[878, 28, 12]",Destin Daniel Cretton,"Tom Holland, Zendaya, Sadie Sink, Jacob Batalon, Jon Bernthal","Marvel Studios, Columbia Pictures, Pascal Pictures",United States of America,0.0,0,28.439,2026-07-29,2026,en,"Judul film Spider-Man: Brand New Day. Genre film ini adalah Cerita Fiksi, Aksi, Petualangan. Empat tahun setelah peristiwa Spider-Man: No Way Home, Peter Parker sudah tidak ada lagi dan Spider-Man kini berada di puncak kemampuannya dalam menjaga Kota New York tetap aman. Semuanya berjalan dengan baik hingga serangkaian kejahatan yang tidak biasa menyeret Spider-Man ke dalam jaring misteri yang lebih besar dari apa pun yang pernah ia hadapi sebelumnya. Untuk menghadapi apa yang akan datang, Spider-Man tidak hanya harus berada dalam kondisi fisik dan mental terbaiknya, tetapi juga harus siap menghadapi konsekuensi dari masa lalunya! Disutradarai oleh Destin Daniel Cretton. Dibintangi oleh Tom Holland, Zendaya, Sadie Sink, Jacob Batalon, Jon Bernthal. Diproduksi oleh Marvel Studios, Columbia Pictures, Pascal Pictures. Negara produksi: United States of America.",125,81
438631,Dune,Dune,"Dune berkisah tentang seorang pemuda bernama Paul Atreides yang diperankan oleh Timothee Chalamet yang akan pindah dari tempat tinggalnya saat ini di Caladan bersama anggota keluarganya.  Paul dan keluarganya akan menjalani hidup baru di sebuah planet lain yang bernama planet Arrakis. Arrakis merupakan planet dengan kondisi alam berupa gurun pasir yang luas.  Sekilas, planet Arrakis merupakan planet yang gersang karena merupakan gurun. Akan tetapi Arrakis menyimpan hal istimewa di dalamnya. Arrakis menyimpan rempah-rempah yang disebut spice. Spice di Arrakis sangat melimpah dan mengandung khasiat istimewa.",,"Cerita Fiksi, Petualangan","[878, 12]",Denis Villeneuve,"Timothée Chalamet, Rebecca Ferguson, Oscar Isaac, Jason Momoa, Stellan Skarsgård",Legendary Pictures,United States of America,7.781,14858,25.6487,2021-09-15,2021,en,"Judul film Dune. Genre film ini adalah Cerita Fiksi, Petualangan. Dune berkisah tentang seorang pemuda bernama Paul Atreides yang diperankan oleh Timothee Chalamet yang akan pindah dari tempat tinggalnya saat ini di Caladan bersama anggota keluarganya.  Paul dan keluarganya akan menjalani hidup baru di sebuah planet lain yang bernama planet Arrakis. Arrakis merupakan planet dengan kondisi alam berupa gurun pasir yang luas.  Sekilas, planet Arrakis merupakan planet yang gersang karena merupakan gurun. Akan tetapi Arrakis menyimpan hal istimewa di dalamnya. Arrakis menyimpan rempah-rempah yang disebut spice. Spice di Arrakis sangat melimpah dan mengandung khasiat istimewa. Disutradarai oleh Denis Villeneuve. Dibintangi oleh Timothée Chalamet, Rebecca Ferguson, Oscar Isaac, Jason Momoa, Stellan Skarsgård. Diproduksi oleh Legendary Pictures. Negara produksi: United States of America.",121,85
10138,Iron Man 2,Iron Man 2,"Dengan dunia sekarang sadar bahwa dia adalah Iron Man, penemu miliarder, Tony Stark, menghadapi tekanan dari semua sisi untuk berbagi teknologinya dengan militer. Dia enggan membocorkan rahasia baju lapis bajanya, takut informasi itu akan jatuh ke tangan yang salah. Dengan Pepper Potts dan ""Rhodey"" Rhodes di sisinya, Tony harus membentuk aliansi baru dan menghadapi musuh baru yang kuat.",,"Petualangan, Aksi, Cerita Fiksi","[12, 28, 878]",Jon Favreau,"Robert Downey Jr., Gwyneth Paltrow, Don Cheadle, Scarlett Johansson, Sam Rockwell","Marvel Studios, Fairview Entertainment, Marvel Entertainment",United States of America,6.853,22344,25.3446,2010-04-28,2010,en,"Judul film Iron Man 2. Genre film ini adalah Petualangan, Aksi, Cerita Fiksi. Dengan dunia sekarang sadar bahwa dia adalah Iron Man, penemu miliarder, Tony Stark, menghadapi tekanan dari semua sisi untuk berbagi teknologinya dengan militer. Dia enggan membocorkan rahasia baju lapis bajanya, takut informasi itu akan jatuh ke tangan yang salah. Dengan Pepper Potts dan ""Rhodey"" Rhodes di sisinya, Tony harus membentuk aliansi baru dan menghadapi musuh baru yang kuat. Disutradarai oleh Jon Favreau. Dibintangi oleh Robert Downey Jr., Gwyneth Paltrow, Don Cheadle, Scarlett Johansson, Sam Rockwell. Diproduksi oleh Marvel Studios, Fairview Entertainment, Marvel Entertainment. Negara produksi: United States of America.",102,58
575265,Mission: Impossible - The Final Reckoning,Mission: Impossible - The Final Reckoning,"Ethan Hunt dan tim melanjutkan pencarian mereka terhadap AI mengerikan yang dikenal sebagai Entity — yang telah menyusup ke jaringan intelijen di seluruh dunia — dengan pemerintah dunia dan hantu misterius dari masa lalu Hunt yang mengikuti jejak mereka. Bergabung dengan sekutu baru dan dipersenjatai dengan kemampuan untuk melumpuhkan Entity selamanya, Hunt berpacu dengan waktu untuk mencegah dunia yang kita kenal berubah selamanya.",,"Aksi, Cerita Seru, Petualangan","[28, 53, 12]",Christopher McQuarrie,"Tom Cruise, Hayley Atwell, Ving Rhames, Simon Pegg, Esai Morales","Paramount Pictures, Skydance Media, TC Productions",United States of America,7.161,2790,24.3924,2025-05-17,2025,en,"Judul film Mission: Impossible - The Final Reckoning. Genre film ini adalah Aksi, Cerita Seru, Petualangan. Ethan Hunt dan tim melanjutkan pencarian mereka terhadap AI mengerikan yang dikenal sebagai Entity — yang telah menyusup ke jaringan intelijen di seluruh dunia — dengan pemerintah dunia dan hantu misterius dari masa lalu Hunt yang mengikuti jejak mereka. Bergabung dengan sekutu baru dan dipersenjatai dengan kemampuan untuk melumpuhkan Entity selamanya, Hunt berpacu dengan waktu untuk mencegah dunia yang kita kenal berubah selamanya. Disutradarai oleh Christopher McQuarrie. Dibintangi oleh Tom Cruise, Hayley Atwell, Ving Rhames, Simon Pegg, Esai Morales. Diproduksi oleh Paramount Pictures, Skydance Media, TC Productions. Negara produksi: United States of America.",109,63
389,12 Angry Men,12 Angry Men,"Setelah argumen penutup dalam persidangan pembunuhan, 12 anggota juri harus berunding, dengan vonis bersalah yang berarti kematian bagi terdakwa, seorang remaja dari kota. Ketika belasan orang itu mencoba untuk mencapai keputusan bulat saat diasingkan di sebuah ruangan, seorang juri meragukan beberapa elemen dari kasus tersebut. Masalah pribadi segera muncul ke permukaan, dan konflik mengancam untuk menggagalkan proses rumit yang akan menentukan nasib seorang anak laki-laki.",It explodes like 12 sticks of dynamite!,Drama,[18],Sidney Lumet,"Martin Balsam, John Fiedler, Lee J. Cobb, E.G. Marshall, Jack Klugman",Orion-Nova Productions,United States of America,8.561,9971,23.2441,1957-04-10,1957,en,"Judul film 12 Angry Men. Genre film ini adalah Drama. Setelah argumen penutup dalam persidangan pembunuhan, 12 anggota juri harus berunding, dengan vonis bersalah yang berarti kematian bagi terdakwa, seorang remaja dari kota. Ketika belasan orang itu mencoba untuk mencapai keputusan bulat saat diasingkan di sebuah ruangan, seorang juri meragukan beberapa elemen dari kasus tersebut. Masalah pribadi segera muncul ke permukaan, dan konflik mengancam untuk menggagalkan proses rumit yang akan menentukan nasib seorang anak laki-laki. Tagline: It explodes like 12 sticks of dynamite!. Disutradarai oleh Sidney Lumet. Dibintangi oleh Martin Balsam, John Fiedler, Lee J. Cobb, E.G. Marshall, Jack Klugman. Diproduksi oleh Orion-Nova Productions. Negara produksi: United States of America.",110,65
673,Harry Potter and the Prisoner of Azkaban,Harry Potter and the Prisoner of Azkaban,"Tahun ketiga di Hogwarts berarti kesenangan dan tantangan baru ketika Harry mempelajari seni halus dalam mendekati Hippogriff, mengubah Boggart yang bisa berubah bentuk menjadi kegembiraan dan bahkan memutar balik waktu. Namun istilah ini juga membawa bahaya: Dementor penghisap jiwa melayang di atas sekolah, sekutu Dia-Yang-Tidak Dapat Disebut-Namanya yang terkutuk bersembunyi di dalam tembok kastil, dan penyihir menakutkan Sirius Black melarikan diri dari Azkaban. Dan Harry akan menghadapi mereka semua.",,"Petualangan, Fantasi","[12, 14]",Alfonso Cuarón,"Daniel Radcliffe, Rupert Grint, Emma Watson, Robbie Coltrane, Michael Gambon","Warner Bros. Pictures, 1492 Pictures, Heyday Films","United Kingdom, United States of America",8.0,23112,22.7412,2004-05-31,2004,en,"Judul film Harry Potter and the Prisoner of Azkaban. Genre film ini adalah Petualangan, Fantasi. Tahun ketiga di Hogwarts berarti kesenangan dan tantangan baru ketika Harry mempelajari seni halus dalam mendekati Hippogriff, mengubah Boggart yang bisa berubah bentuk menjadi kegembiraan dan bahkan memutar balik waktu. Namun istilah ini juga membawa bahaya: Dementor penghisap jiwa melayang di atas sekolah, sekutu Dia-Yang-Tidak Dapat Disebut-Namanya yang terkutuk bersembunyi di dalam tembok kastil, dan penyihir menakutkan Sirius Black melarikan diri dari Azkaban. Dan Harry akan menghadapi mereka semua. Disutradarai oleh Alfonso Cuarón. Dibintangi oleh Daniel Radcliffe, Rupert Grint, Emma Watson, Robbie Coltrane, Michael Gambon. Diproduksi oleh Warner Bros. Pictures, 1492 Pictures, Heyday Films. Negara produksi: United Kingdom, United States of America.",117,69
